venue_name,venue_id,city_name,n_events,n_artists,first_event,last_event
Ivy Room,23d2cc5f,Albany,89,70,2018-08-02,2022-12-15
Fremont Theater,33d394ed,San Luis Obispo,87,83,2018-08-04,2022-12-11
Starline Social Club,63d582ef,Oakland,86,83,2018-08-02,2022-12-31
The Canyon - Montclair,6bd39e96,Montclair,85,73,2019-08-23,2022-12-16
The Hotel Cafe,53d6dbcd,Los Angeles,82,71,2018-08-03,2022-11-20
The Viper Room,23d62c2f,West Hollywood,80,69,2018-08-03,2022-12-31
Dolby Theatre,23d5a8f7,Los Angeles,78,67,2018-10-25,2022-11-20
The New Parish,43d66703,Oakland,78,77,2018-08-23,2022-12-09
Brookside Park,4bd39bea,Pasadena,77,77,2019-08-31,2022-08-28
Oakland Coliseum,53d21f69,Oakland,77,69,2018-09-11,2019-09-29
Embarcadero Marina Park North,73d53a3d,San Diego,75,71,2018-08-03,2022-11-20
924 Gilman Street,43d6635b,Berkeley,75,61,2018-08-19,2022-12-03
Café du Nord,23d6347f,San Francisco,75,72,2018-08-17,2022-11-07
2220 Arts + Archives,3bd0e848,Los Angeles,75,67,2021-12-03,2022-12-09
Thunder Valley Casino,73d65efd,Lincoln,74,63,2018-08-03,2022-10-01
Waterfront Park,3d441c7,San Diego,74,71,2018-09-29,2022-09-25
Petco Park,bd63986,San Diego,73,68,2018-09-22,2022-12-31
Santa Barbara Bowl,53d63781,Santa Barbara,72,65,2018-08-03,2022-10-19
DNA Lounge,3bd62458,San Francisco,71,68,2018-08-05,2022-11-08
Elbo Room Jack London,6bd2dae2,Oakland,71,63,2018-08-31,2022-12-23
El Dorado County Fairgrounds,33d5902d,Placerville,70,50,2018-08-31,2019-10-27
Oakland Arena,3bd3c478,Oakland,70,66,2019-11-26,2022-12-17
Private Venue,53d2d701,San Diego,69,21,2018-09-15,2022-10-20
Toyota Arena,bd38d22,Ontario,69,61,2019-08-25,2022-12-30
Private Venue,33d34cd5,Los Angeles,69,48,2020-04-19,2022-12-27
Cal Coast Credit Union Open Air Theatre,7bd47af4,San Diego,67,66,2018-08-03,2022-11-26
The Late Late Show with James Corden,4bd5bffe,Los Angeles,67,52,2018-08-08,2022-12-13
Masonic Lodge at Hollywood Forever,3d62157,Los Angeles,65,57,2018-09-04,2022-12-07
Pier 80,73d066f1,San Francisco,65,65,2022-09-24,2022-09-25
Nevada County Fairgrounds,13d6c93d,Grass Valley,65,45,2022-09-01,2022-10-23
Los Angeles Theatre,3bd7c020,Los Angeles,65,60,2018-10-27,2022-10-22
Camp Navarro,23d3a403,Navarro,64,20,2018-09-21,2022-09-18
The Baked Potato,3bd2f008,Los Angeles,64,25,2018-09-15,2022-12-31
Viejas Arena,43d6dbe3,San Diego,63,57,2018-08-04,2022-12-08
Cerritos Center for the Performing Arts,23d220df,Cerritos,63,53,2018-09-07,2022-12-11
Bethel Church,4bd7db92,Irvine,62,5,2018-08-05,2020-09-02
Voodoo Room,63d33287,San Diego,62,62,2018-09-09,2022-12-07
The Hi-Hat,73d5d6e5,Los Angeles,61,58,2018-08-06,2020-03-13
Vina Robles Amphitheatre,53d4af6d,Paso Robles,60,58,2018-08-11,2022-10-21
Private Venue,63d09203,Los Angeles,60,28,2019-08-31,2021-12-31
Moe's Alley,13d60115,Santa Cruz,60,56,2018-08-03,2022-12-31
Clive Davis Theater at the Grammy Museum,3bd7b0e4,Los Angeles,59,54,2018-08-03,2022-10-19
Saban Theater,53d78b55,Beverly Hills,59,58,2018-08-11,2022-12-05
Resident,63d5c627,Los Angeles,58,56,2018-08-16,2022-12-17
Private Venue,5bd23770,Oakland,57,16,2018-09-08,2022-12-14
Orpheum Theatre,73d62245,Los Angeles,55,48,2018-08-04,2022-12-16
Brick & Mortar Music Hall,63d72e9b,San Francisco,55,55,2018-08-05,2022-11-02
The Boardwalk,6bd63e1e,Orangevale,54,53,2018-08-11,2022-12-03
The Ellen DeGeneres Show,13d61949,Burbank,53,48,2018-08-31,2021-12-24
Crest Theatre,3bd62c64,Sacramento,53,47,2018-08-04,2022-12-31
Bimbo's 365 Club,bd63572,San Francisco,52,34,2018-08-11,2022-12-31
Marty's On Newport,7bd23e0c,Tustin,51,44,2018-08-02,2018-12-29
Auto Club Speedway,3d60df7,Fontana,51,51,2018-08-04,2018-08-05
The Slidebar Rock-n-Roll Kitchen,6bd00e9e,Fullerton,50,46,2018-08-14,2020-02-21
San Jose Civic,63d3966b,San Jose,49,45,2019-08-22,2022-12-20
Uptown Theatre,bd649ee,Napa,49,41,2018-08-11,2022-12-15
Full Circle Brewing Co.,2bd548ba,Fresno,49,43,2018-08-04,2022-10-24
Shrine Exposition Hall,73d2f271,Los Angeles,49,37,2018-09-22,2022-11-04
YouTube Theater,23d0f42f,Inglewood,49,47,2021-12-03,2022-12-10
Five Stars Bar,3d735b3,Los Angeles,48,47,2018-08-18,2020-03-17
Pacific Amphitheatre,4bd3a73e,Costa Mesa,48,39,2018-08-02,2022-09-03
Oracle Arena,63d6366f,Oakland,48,42,2018-08-07,2019-11-30
The Wayfarer,3d4190b,Costa Mesa,47,42,2018-08-18,2022-12-07
Rio Theatre,2bd38c5a,Santa Cruz,47,42,2018-08-21,2022-12-31
Thee Parkside,5bd63364,San Francisco,47,47,2018-08-03,2022-11-06
SoHo Restaurant and Music Club,53d65b19,Santa Barbara,46,39,2018-09-21,2022-12-31
El Cid,1bd5e974,Los Angeles,46,44,2018-08-24,2022-12-05
Academy LA,5bd227fc,Los Angeles,46,44,2018-08-03,2022-12-31
Glen Helen Amphitheater,bd5412e,San Bernardino,46,42,2018-08-25,2022-10-08
Private Venue,1bd2e14c,San Francisco,46,30,2018-09-15,2022-10-16
The Starlet Room,5bd33b00,Sacramento,46,44,2019-09-06,2022-12-18
The Che Cafe,2bd63cc2,La Jolla,46,44,2018-08-15,2022-12-16
Los Angeles Convention Center,33d4e481,Los Angeles,46,42,2018-08-10,2022-10-19
SOMA Sidestage,53d72fa5,San Diego,46,43,2018-09-28,2022-11-25
The Magnolia,7bd3ea2c,El Cajon,45,43,2019-09-24,2022-12-19
Concord Pavilion,23d62007,Concord,45,43,2018-08-18,2022-09-27
Private Venue,3d2210b,Long Beach,45,4,2019-11-29,2020-12-31
Save Mart Center,bd639ee,Fresno,45,40,2018-08-07,2022-12-01
Saint Rocke,1bd60190,Hermosa Beach,45,36,2018-08-05,2020-03-07
The Redwood Bar,53d55b15,Los Angeles,45,38,2018-08-05,2022-12-23
Lake Tahoe Community College,5bd1ff94,South Lake Tahoe,44,43,2018-12-29,2019-12-31
Lobero Theatre,2bd38c16,Santa Barbara,44,40,2018-09-15,2022-11-20
Supply and Demand,6bd35a56,Long Beach,44,38,2019-09-19,2022-12-31
Golden State Theatre,3d39977,Monterey,43,38,2018-09-12,2022-12-17
Gold Diggers,63d2be1b,Los Angeles,43,38,2018-08-21,2022-12-20
ROW DTLA,6bd21e4a,Los Angeles,43,43,2018-08-18,2019-10-20
The Joe Henderson Lab,5bd2c794,San Francisco,43,16,2018-08-12,2022-11-06
Anaheim Convention Center,43d667f3,Anaheim,42,39,2018-11-03,2022-09-10
Balboa Theatre,7bd67268,San Diego,42,36,2018-09-26,2022-12-20
Toyota Amphitheatre,13d5b989,Wheatland,42,40,2018-08-17,2022-11-03
Private Venue,1bd05184,Los Angeles,42,29,2018-09-06,2022-12-02
Mayan Theatre,63d6365f,Los Angeles,41,39,2018-09-23,2022-12-03
The Satellite,33d7a4e1,Los Angeles,41,35,2018-08-30,2022-09-21
Nova SD,3bd03cec,San Diego,41,41,2022-08-26,2022-12-31
Swedish American Hall,13d6c139,San Francisco,41,34,2018-09-12,2022-10-22
Cafe Colonial,4bd4437a,Sacramento,41,36,2018-09-25,2022-12-07
The Golden Bull,3bd4504c,Oakland,40,32,2018-08-02,2022-11-12
Monterey County Fairgrounds,73d39e85,Monterey,40,40,2018-09-21,2022-10-15
The Cave,33d43491,Big Bear Lake,40,33,2018-08-10,2021-12-11
North Island Credit Union Amphitheatre,23d3a4fb,Chula Vista,39,38,2019-08-27,2022-10-07
McCabe's Guitar Shop,2bd6c016,Santa Monica,39,26,2018-08-10,2022-10-15
Eli's Mile High Club,6bd76a56,Oakland,39,37,2018-10-06,2022-12-30
B.R. Cohn Winery,4bd63b56,Glen Ellen,38,37,2018-08-04,2022-10-09
The Midnight Hour,3d0ede7,San Fernando,38,35,2021-12-18,2022-12-16
Private Venue,13d09921,Los Angeles,38,15,2018-08-25,2022-12-24
Walt Disney Concert Hall,2bd618ce,Los Angeles,37,32,2018-09-27,2022-12-31
Campus Jax,4bd25312,Newport Beach,37,26,2018-11-17,2022-11-19
Paramount Theatre,1bd6d1a4,Oakland,36,32,2018-09-07,2022-12-02
Palace of Fine Arts Theatre,5bd62bb0,San Francisco,36,33,2018-10-09,2022-11-18
McCallum Theatre,13d7bd21,Palm Desert,36,25,2018-10-15,2022-12-12
The Irenic,53d77b59,San Diego,36,36,2018-08-05,2019-11-15
Pico Union Project,13d2a1b1,Los Angeles,36,32,2018-11-16,2022-11-16
Programme Skate & Sound,7bd3a23c,Fullerton,36,34,2018-08-10,2022-12-11
The Doll Hut,1bd3a174,Anaheim,35,23,2018-08-24,2022-12-01
Club Fox,2bd76c92,Redwood City,35,23,2018-09-30,2022-12-16
La Santa,73d392c5,Santa Ana,34,34,2018-11-10,2022-09-29
The Lexington,73d46a49,Los Angeles,34,32,2018-11-11,2020-03-14
Ventura County Fairgrounds,1bd6c92c,Ventura,34,31,2018-08-02,2022-09-03
Fantasy Springs Resort Casino,2bd47056,Indio,34,32,2018-08-11,2022-12-17
Seaside Lagoon,63d4860b,Redondo Beach,33,33,2022-09-16,2022-09-18
City National Civic,13d4e505,San Jose,33,33,2018-08-14,2018-12-19
The Uptown,33d618a1,Oakland,33,30,2018-08-23,2020-02-21
Exchange,73d70ab5,Los Angeles,33,32,2018-08-10,2022-12-31
Mattress Firm Amphitheatre,53d54f79,Chula Vista,33,33,2018-08-03,2018-10-12
Hotel Utah,1bd6714c,San Francisco,33,27,2018-08-23,2022-12-08
Fox Performing Arts Center,6bd7a6fe,Riverside,33,32,2018-08-05,2022-11-20
Senator Theatre,13d3a1a5,Chico,32,31,2018-09-05,2022-11-03
The Siren,bd2e12e,Morro Bay,32,32,2018-08-05,2022-11-12
Paul Paul Theater,13d39d59,Fresno,32,30,2018-10-05,2022-10-16
Fox Theater Pomona,53d39b95,Pomona,31,29,2018-11-02,2022-11-15
Bardot,33d7a079,Los Angeles,31,31,2018-09-10,2022-11-14
Seaport Village,13d3cd0d,San Diego,31,30,2019-11-22,2022-11-20
Crypto.com Arena,7bd0d2a8,Los Angeles,31,16,2021-12-25,2022-12-15
3rd & MLK,3d2112b,Oakland,31,31,2018-09-03,2019-09-02
Private Venue,53d31711,Topanga,30,5,2020-03-04,2020-11-01
The Guild Theatre,43d03f0f,Menlo Park,30,24,2022-08-27,2022-12-31
Sharkbite Studios,33d094f9,Oakland,30,1,2020-03-27,2021-12-31
The Mint,5bd6d788,Los Angeles,30,25,2018-08-03,2022-12-15
The Parish at House of Blues,7bd55e1c,Anaheim,30,30,2018-08-11,2022-11-13
Pechanga Resort & Casino,4bd65f62,Temecula,30,29,2018-08-24,2022-11-13
Rose Bowl,1bd62178,Pasadena,30,24,2018-08-18,2022-10-16
Golden Gate Theater,7bd77a18,San Francisco,30,5,2019-10-14,2020-03-11
Papa Murphy's Park,53d29f01,Sacramento,29,27,2018-09-22,2019-10-19
Oak Canyon Park,3bd13088,Silverado,29,29,2022-11-05,2022-11-06
Shrine Auditorium,7bd6d2d4,Los Angeles,29,27,2018-08-10,2022-12-22
iHeartRadio Theater,53d41bbd,Burbank,29,25,2018-08-09,2022-11-17
Riverside Municipal Auditorium,23d6c4ab,Riverside,29,28,2018-08-31,2022-10-25
The Voice,63d466ab,Universal City,29,22,2018-11-13,2022-12-14
Arlington Theatre,43d6375b,Santa Barbara,28,28,2018-09-25,2022-11-19
Ventura Music Hall,1bd03564,Ventura,28,28,2022-08-27,2022-12-17
Marina Green,33d7cc59,Long Beach,28,28,2018-09-29,2018-09-30
SoFi Stadium,13d0b545,Inglewood,28,15,2021-11-28,2022-12-08
The Midway,4bd2b396,San Francisco,28,24,2018-09-01,2022-12-31
Hopmonk Tavern,2bd618ee,Sebastopol,28,25,2018-10-18,2022-12-31
Agua Caliente Casino,63d632e3,Rancho Mirage,27,26,2018-08-24,2022-11-19
The Concert Lounge,1bd39538,Riverside,27,19,2018-09-03,2022-12-09
Mark Taper Auditorium,3d5c5f3,Los Angeles,27,1,2019-09-21,2019-10-13
Toxic Toast Theatre,33d22009,Long Beach,27,26,2018-09-27,2020-03-08
The Peppermint Club,3d2b13b,West Hollywood,27,25,2018-08-03,2022-12-11
The Beverly Hilton,1bd3a51c,Beverly Hills,27,26,2018-09-07,2022-12-11
Fred Kavli Theatre,13d789f5,Thousand Oaks,27,27,2018-09-20,2022-11-11
SPACE,3bd1cc4c,San Diego,27,27,2018-08-09,2020-03-19
Transplants Brewing,5bd0ef24,Palmdale,26,24,2021-12-10,2022-12-31
Pool Deck @ Norwegian Jewel,3bd1008c,Los Angeles,26,24,2022-10-24,2022-11-11
Middle Harbor Shoreline Park,23d78c73,Oakland,26,26,2018-10-13,2018-10-14
Frost Amphitheater,63d3aa7f,Stanford,26,26,2019-08-17,2022-09-30
Maui Sugar Mill Saloon,63d4261f,Los Angeles,25,22,2018-08-06,2022-11-19
Castro Theatre,7bd6cadc,San Francisco,25,17,2018-09-15,2022-12-03
Gundlach-Bundschu Winery,43d7fb43,Sonoma,25,23,2018-09-01,2022-12-03
Panic Room,3bd7b4a0,Los Angeles,25,4,2020-03-13,2020-05-03
Discovery Ventura,73d5ba99,Ventura,25,24,2018-08-24,2020-01-25
Malone's,13d7bde5,Santa Ana,25,24,2018-08-17,2020-02-16
The Dip,3d7155b,Redding,25,24,2018-08-09,2022-12-08
Wisdome LA,7bd3d650,Los Angeles,25,17,2019-11-09,2020-02-15
Blue Lamp,5bd7d330,Sacramento,25,24,2018-08-02,2019-11-23
Amoeba Music,3d671bb,Los Angeles,25,25,2018-08-22,2022-11-15
Ramona Mainstage,4bd673b6,Ramona,25,24,2018-10-06,2022-12-08
KCRW Studios,23d6d00f,Santa Monica,25,23,2018-08-10,2022-10-27
Tiki Bar,23d67443,Costa Mesa,24,19,2018-08-02,2022-12-31
Homestead Bowl & The X Bar,4bd3a7de,Cupertino,24,24,2018-08-12,2022-12-16
Dorothy Chandler Pavilion,43d11f37,Los Angeles,24,12,2018-11-06,2018-11-07
The Smell,3bd618a8,Los Angeles,24,23,2018-09-29,2022-09-18
Fox Theater,6bd3a2fa,Bakersfield,23,21,2018-08-19,2022-11-02
Harrah's Resort Southern California,53d393e1,Valley Center,23,21,2018-08-17,2022-09-25
King Gillette Ranch,1bd38de4,Calabasas,23,23,2018-12-02,2019-08-24
Sycuan Casino Resort,63d3a65f,El Cajon,23,20,2018-09-21,2022-12-10
MORC Studios,7bd37efc,Burbank,23,22,2020-05-23,2020-10-16
Catalina Bar & Grill,2bd794de,Los Angeles,23,16,2018-12-02,2022-12-29
1015 Folsom,63d7baf3,San Francisco,23,23,2018-08-24,2022-12-31
John Anson Ford Amphitheatre,63d722bb,Los Angeles,23,23,2018-08-03,2022-10-22
Shrine Auditorium and Expo Hall,bd251ba,Los Angeles,22,20,2018-11-09,2022-12-22
The Blue Whale,63d45ac3,Los Angeles,22,16,2018-10-07,2020-01-20
Cascade Theatre,33d6785d,Redding,22,22,2018-08-06,2022-12-18
Palace Theatre,5bd6db5c,Los Angeles,22,19,2018-11-14,2022-11-27
Bogies Bar,6bd2a68a,Westlake Village,22,18,2018-08-09,2022-11-17
JaM Cellars Ballroom,4bd2c302,Napa,22,18,2018-09-10,2022-12-31
Oxnard Performing Arts & Convention Center,23d398f7,Oxnard,22,22,2020-09-04,2022-12-10
Roaring Camp Meadows,3bd40868,Felton,22,22,2018-09-21,2019-09-22
Pechanga Theater,2bd39032,Temecula,22,21,2018-08-11,2022-11-02
Phoenix Theatre,bd62572,Petaluma,22,20,2018-09-29,2022-12-03
Luther Burbank Center for the Arts,2bd4d40e,Santa Rosa,22,21,2018-08-04,2022-12-21
Sonoma County Fairgrounds,43d74373,Santa Rosa,22,22,2018-08-02,2022-12-11
The Comedy Store,73d0b60d,West Hollywood,21,15,2018-09-13,2022-12-15
Non Plus Ultra,3bd5c860,Los Angeles,21,18,2019-09-19,2022-10-29
The Venice West,2bd3a40a,Venice,21,21,2021-12-03,2022-12-31
Hollywood Forever Cemetery,2bd7bc1a,Los Angeles,21,16,2018-08-03,2022-12-13
San Bernardino County Fairgrounds,43d7331b,Victorville,21,21,2018-09-15,2019-11-16
Glen Helen Regional Park,2bd7e88a,San Bernardino,21,21,2018-10-05,2022-09-17
Harris Center for the Arts,1bd3a184,Folsom,21,17,2018-09-14,2022-11-03
Bliss Lounge @ Norwegian Jewel,3bd10080,Los Angeles,21,19,2022-10-24,2022-11-08
Fulton 55,13d79da1,Fresno,21,20,2018-08-17,2022-12-18
W Hollywood Hotel,1bd4ed04,Los Angeles,21,21,2018-09-01,2018-09-02
Ahmanson Theater,63d7aed3,Los Angeles,21,1,2020-01-24,2020-02-16
Antelope Valley Fairgrounds,63d29a6b,Lancaster,21,20,2018-08-17,2022-09-24
Segerstrom Center for the Arts,63d79a9f,Costa Mesa,21,14,2018-11-02,2022-12-23
Avalon,4bd28776,Los Angeles,21,18,2018-08-04,2022-12-11
Morongo Casino Resort & Spa,3bd79cf8,Cabazon,21,21,2018-09-14,2022-11-05
The Knockout,33d628b9,San Francisco,20,15,2018-08-23,2022-10-29
Cucamonga-Guasti Regional Park,13d5e9d1,Ontario,20,20,2018-10-05,2019-09-28
Huntington State Beach,23d2cc1f,Huntington Beach,20,20,2018-10-06,2018-12-31
Pala Casino Spa & Resort,3bd398ec,Pala,20,20,2018-10-06,2022-12-03
Ocean Ale House,1bd52980,San Francisco,20,3,2018-08-04,2022-12-11
Kuumbwa Jazz Center,73d7a6f1,Santa Cruz,20,17,2018-08-15,2022-12-12
Stardust Theater @ Norwegian Jewel,33d10081,Los Angeles,20,14,2022-11-03,2022-11-11
Elbo Room,4bd67b16,San Francisco,20,20,2018-08-21,2018-12-27
Bankhead Theater,13d4b5c1,Livermore,20,20,2018-08-20,2022-12-19
